run_id,run_name,run_status_snapshot,run_created_at,run_started_at,run_finished_at,model_id,model_label,model_name,method_id,method_label,method_name,doc_id,filename,status,updated_at,reference_source_used,warnings_count,micro_precision,micro_recall,micro_f1,micro_tp,micro_fp,micro_fn,macro_precision,macro_recall,macro_f1,age_precision,age_recall,age_f1,age_tp,age_fp,age_fn,age_support,date_precision,date_recall,date_f1,date_tp,date_fp,date_fn,date_support,location_precision,location_recall,location_f1,location_tp,location_fp,location_fn,location_support,misc_id_precision,misc_id_recall,misc_id_f1,misc_id_tp,misc_id_fp,misc_id_fn,misc_id_support,name_precision,name_recall,name_f1,name_tp,name_fp,name_fn,name_support,other_precision,other_recall,other_f1,other_tp,other_fp,other_fn,other_support,school_precision,school_recall,school_f1,school_tp,school_fp,school_fn,school_support,url_precision,url_recall,url_f1,url_tp,url_fp,url_fn,url_support
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,fe8b0fe8,37828c5d-66a4-494c-b480-790b5a84f7a9_annotated.json,completed,2026-03-08T22:58:25.109124+00:00,manual,1,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,1,1,1
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,d4df4c18,0e38e303-12a6-4c6c-8f42-3aaf307310ac_annotated.json,completed,2026-03-08T22:59:15.700353+00:00,manual,3,0.7846153846153846,0.8095238095238095,0.7968749999999999,51,14,12,0.7401960784313726,0.7833333333333333,0.7604166666666667,,,,,,,,,,,,,,,0.6470588235294118,0.7333333333333333,0.6875,11,6,4,15,,,,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,40,8,8,48,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,c7ca76b6,03bd2893-18e4-439b-a7d0-5000c155d7ac_annotated.json,completed,2026-03-08T22:59:39.436982+00:00,manual,3,0.9230769230769231,1.0,0.9600000000000001,12,1,0,0.5,0.5,0.5,,,,,,,,0.0,0.0,0.0,0,1,0,0,,,,,,,,,,,,,,,1.0,1.0,1.0,12,0,0,12,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,9bb358ed,4fe6a5da-fc1e-41a1-9e47-187cf5ce02c9_annotated.json,completed,2026-03-08T22:59:46.988923+00:00,manual,1,0.5833333333333334,0.7777777777777778,0.6666666666666666,7,5,2,0.3888888888888889,0.3888888888888889,0.3888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,9,,,,,,,,,,,,,,,0.0,0.0,0.0,0,3,0,0
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,80648041,05b4be7f-a442-d4a5-e100-d9f502debf09_2914_annotated.json,completed,2026-03-08T23:00:59.148417+00:00,manual,1,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,7,0,0,7,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,49ac97a8,7ac80468-d52e-4192-bd51-9f8cd7e3e47f_annotated.json,completed,2026-03-08T23:01:15.049069+00:00,manual,1,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,9,0,0,9,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,efc03354,8b1643c9-69d3-7123-f7bf-51b762d1a387_2909_annotated.json,completed,2026-03-08T23:01:33.376039+00:00,manual,4,0.6585365853658537,0.8181818181818182,0.7297297297297297,27,14,6,0.13636363636363638,0.16071428571428573,0.14754098360655737,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,1,4,4,,,,,,,,0.8181818181818182,0.9642857142857143,0.8852459016393442,27,6,1,28,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0.0,0,2,0,0,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,35abe043,9f326b6f-1206-7f13-f20b-70024bf419af_2912_annotated.json,completed,2026-03-08T23:01:49.137560+00:00,manual,1,0.9285714285714286,0.9285714285714286,0.9285714285714286,26,2,2,0.9285714285714286,0.9285714285714286,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9285714285714286,0.9285714285714286,0.9285714285714286,26,2,2,28,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_7,Presidio + Default,Presidio + Default,f5d5b0e9,9f2839d6-3730-d4ba-b265-309f0fc0db22_2914_annotated.json,completed,2026-03-08T23:02:09.149509+00:00,manual,3,0.8407079646017699,0.8482142857142857,0.8444444444444443,95,18,17,0.42792792792792794,0.42410714285714285,0.4260089686098655,,,,,,,,0.0,0.0,0.0,0,2,0,0,,,,,,,,,,,,,,,0.8558558558558559,0.8482142857142857,0.852017937219731,95,16,17,112,,,,,,,,,,,,,,,,,,,,,
9d9278e6,methods_lab__baseline8__gemini,completed_with_errors,2026-03-08T22:13:04.319617+00:00,2026-03-08T22:13:04.321991+00:00,2026-03-08T23:22:35.214532+00:00,gemini_pro,gemini_pro,google.gemini-3.1-pro-preview,method_8,Presidio + LLM Split,Presidio + LLM Split,56f8e098,17f67cd7-cc76-d922-9175-73fff05bb9fa_2909_annotated.json,completed,2026-03-08T23:07:52.844255+00:00,manual,5,0.5555555555555556,0.5,0.5263157894736842,5,4,5,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4,9,,,,,,,,,,,,,,,,,,,,,
