run_id,run_name,run_status_snapshot,run_created_at,run_started_at,run_finished_at,model_id,model_label,prompt_id,prompt_label,doc_id,filename,status,updated_at,reference_source_used,warnings_count,micro_precision,micro_recall,micro_f1,micro_tp,micro_fp,micro_fn,macro_precision,macro_recall,macro_f1,age_precision,age_recall,age_f1,age_tp,age_fp,age_fn,age_support,date_precision,date_recall,date_f1,date_tp,date_fp,date_fn,date_support,location_precision,location_recall,location_f1,location_tp,location_fp,location_fn,location_support,misc_id_precision,misc_id_recall,misc_id_f1,misc_id_tp,misc_id_fp,misc_id_fn,misc_id_support,name_precision,name_recall,name_f1,name_tp,name_fp,name_fn,name_support,other_precision,other_recall,other_f1,other_tp,other_fp,other_fn,other_support,school_precision,school_recall,school_f1,school_tp,school_fp,school_fn,school_support,url_precision,url_recall,url_f1,url_tp,url_fp,url_fn,url_support
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,9bb358ed,4fe6a5da-fc1e-41a1-9e47-187cf5ce02c9_annotated.json,completed,2026-03-08T20:50:23.755192+00:00,manual,3,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,9,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,80648041,05b4be7f-a442-d4a5-e100-d9f502debf09_2914_annotated.json,completed,2026-03-08T20:50:25.888994+00:00,manual,3,1.0,0.5714285714285714,0.7272727272727273,4,0,3,1.0,0.5714285714285714,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,0.7272727272727273,4,0,3,7,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,49ac97a8,7ac80468-d52e-4192-bd51-9f8cd7e3e47f_annotated.json,completed,2026-03-08T20:50:28.843027+00:00,manual,3,1.0,0.6666666666666666,0.8,6,0,3,1.0,0.6666666666666666,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,0.8,6,0,3,9,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,efc03354,8b1643c9-69d3-7123-f7bf-51b762d1a387_2909_annotated.json,completed,2026-03-08T20:50:31.631920+00:00,manual,13,0.65625,0.6363636363636364,0.6461538461538462,21,11,12,0.21875,0.1875,0.20192307692307693,0.0,0.0,0.0,0,4,0,0,,,,,,,,0.0,0.0,0.0,0,4,4,4,,,,,,,,0.875,0.75,0.8076923076923077,21,3,7,28,0.0,0.0,0.0,0,0,1,1,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,35abe043,9f326b6f-1206-7f13-f20b-70024bf419af_2912_annotated.json,completed,2026-03-08T20:50:34.004028+00:00,manual,3,0.8571428571428571,0.6428571428571429,0.7346938775510204,18,3,10,0.8571428571428571,0.6428571428571429,0.7346938775510204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.6428571428571429,0.7346938775510204,18,3,10,28,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,baseline_raw,baseline_raw,f5d5b0e9,9f2839d6-3730-d4ba-b265-309f0fc0db22_2914_annotated.json,completed,2026-03-08T20:50:44.905174+00:00,manual,7,0.7802197802197802,0.6339285714285714,0.6995073891625615,71,20,41,0.4329268292682927,0.3169642857142857,0.36597938144329895,,,,,,,,0.0,0.0,0.0,0,9,0,0,,,,,,,,,,,,,,,0.8658536585365854,0.6339285714285714,0.7319587628865979,71,11,41,112,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,56f8e098,17f67cd7-cc76-d922-9175-73fff05bb9fa_2909_annotated.json,completed,2026-03-08T20:50:37.674912+00:00,manual,13,0.6666666666666666,0.4,0.5,4,2,6,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.0,0.0,0.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,9,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,35a27087,20f55072-0b7b-4b8b-9eb0-6ebb275b9c90_annotated.json,completed,2026-03-08T20:50:40.062049+00:00,manual,3,1.0,0.75,0.8571428571428571,3,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,1,1,1.0,1.0,1.0,1,0,0,1,,,,,,,,,,,,,,,1.0,1.0,1.0,2,0,0,2
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,26028249,26c84903-2377-0538-81db-214c16efb566_2914_annotated.json,completed,2026-03-08T20:50:43.859003+00:00,manual,10,0.7727272727272727,0.5666666666666667,0.6538461538461539,17,5,13,0.40476190476190477,0.2833333333333333,0.3333333333333333,,,,,,,,0.0,0.0,0.0,0,1,0,0,,,,,,,,,,,,,,,0.8095238095238095,0.5666666666666667,0.6666666666666666,17,4,13,30,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,c9c3cf4c,232a1483-e3d6-4591-929d-bbae34752e2e_annotated.json,completed,2026-03-08T20:50:49.449308+00:00,manual,13,0.9508196721311475,0.7160493827160493,0.8169014084507042,58,3,23,0.48870056497175146,0.5800865800865801,0.5016339869281046,0.0,0.0,0.0,0,0,3,3,0.5,1.0,0.6666666666666666,1,1,0,1,,,,,,,,,,,,,,,0.9661016949152542,0.7402597402597403,0.8382352941176471,57,2,20,77,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,ad20d7f7,259ddb69-cdb5-7b3a-1eba-c23d4100d849_2913_annotated.json,completed,2026-03-08T20:50:46.584379+00:00,manual,3,1.0,0.75,0.8571428571428571,3,0,1,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3,0,0,3,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,1,1
